SurveyName,Timestamp,email,In which country do you currently reside?,Country CODE,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis?",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding]
ANALYTICS SURVEY FEB-21,2020-04-20 19:28:19,fbertwistlec@myspace.com,Ukraine,UA,Data Scientist,competent,expert,beginner,expert,beginner,proficient,none,beginner,none,beginner,expert,2,Google Cloud BigQuery,On-premise,Google Cloud;Azure,Azure,On-premise;AWS,Google Cloud;AWS;Azure,AWS;Azure
ANALYTICS SURVEY FSI,2020-01-13 03:00:07,gpardued@bbc.co.uk,Mongolia,MN,Statistician,expert,beginner,competent,beginner,expert,proficient,none,beginner,proficient,proficient,competent,1,Google Cloud BigQuery,AWS,Google Cloud;AWS,AWS Azure,On-premise,AWS;Azure,Azure
ANALYTICS SURVEY JAN-21,2020-11-02 03:52:05,hyakushkeve@vkontakte.ru,China,CN,Physicist,expert,none,none,proficient,none,beginner,beginner,none,beginner,none,none,3,Teradata,On-premise,Google Cloud,Google Cloud;AWS;Azure,Azure,On-premise;AWS,AWS;Azure
ANALYTICS SURVEY RETAIL,2020-06-24 01:23:37,odumbltonf@uiuc.edu,Seychelles,SC,Statistician,proficient,expert,beginner,competent,competent,none,proficient,beginner,competent,competent,expert,2,Microsoft SQL Server,On-premise,AWS,Azure,Google Cloud;AWS;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-07-26 01:54:58,lcornwellg@smh.com.au,Sweden,SE,Data Scientist,beginner,competent,expert,proficient,none,competent,expert,proficient,competent,expert,proficient,2,Amazon Redshift,Azure,Google Cloud;AWS;Azure,AWS Azure,On-premise;Azure,AWS;Azure,AWS;Azure
ANALYTICS SURVEY FSI,2020-02-16 13:34:49,tmatveichevh@usatoday.com,Brazil,BR,Citizen Data Scientist,beginner,none,expert,none,beginner,expert,proficient,expert,proficient,beginner,proficient,1,Microsoft SQL Server,AWS,Google Cloud;AWS,Google Cloud,Google Cloud;AWS;Azure,AWS;Azure,Google Cloud
ANALYTICS SURVEY,2020-02-28 14:32:51,ajobbinsi@ycombinator.com,Philippines,PH,Data Engineer,competent,expert,proficient,beginner,expert,expert,none,none,proficient,expert,beginner,5,Microsoft SQL Server,Azure,AWS,AWS Azure,Google Cloud,AWS,On-premise;Azure
ANALYTICS SURVEY,2020-10-29 06:00:41,btolerj@craigslist.org,Russia,RU,Data Engineer,none,none,proficient,beginner,beginner,expert,competent,expert,none,expert,beginner,3,Microsoft SQL Server,AWS,Azure,AWS,Google Cloud,AWS,AWS;Azure
ANALYTICS SURVEY,2020-04-26 00:19:15,moverpoolk@earthlink.net,Russia,RU,Statistician,beginner,none,proficient,proficient,competent,proficient,none,competent,beginner,proficient,expert,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;Azure,Azure,On-premise,On-premise;Azure,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-10-02 03:20:53,pcoytel@seattletimes.com,Peru,PE,Statistician,beginner,expert,beginner,expert,proficient,beginner,beginner,beginner,proficient,none,beginner,2,Microsoft SQL Server,Google Cloud,Google Cloud;Azure,Azure,Google Cloud;On-premise;Azure,AWS;Azure,AWS
ANALYTICS SURVEY RETAIL,2020-11-03 10:51:10,jickowicsm@cocolog-nifty.com,China,CN,Mathematician,beginner,beginner,beginner,proficient,proficient,beginner,beginner,none,proficient,expert,none,5,Teradata,Azure,Google Cloud;AWS,Google Cloud,On-premise,On-premise;AWS,Azure
ANALYTICS SURVEY FEB-21,2020-04-09 15:19:12,ccinavasn@virginia.edu,Hungary,HU,Citizen Data Scientist,proficient,expert,proficient,competent,proficient,proficient,beginner,competent,expert,expert,beginner,4,Teradata,AWS,Google Cloud;AWS,Google Cloud;AWS,Google Cloud,On-premise;AWS,Azure
ANALYTICS SURVEY FSI,2020-05-30 19:24:32,femminso@cornell.edu,Indonesia,ID,Data Scientist,expert,beginner,competent,proficient,expert,none,beginner,proficient,competent,beginner,none,5,Teradata,Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",AWS
ANALYTICS SURVEY FSI,2020-09-10 13:15:35,browbottamp@123-reg.co.uk,Philippines,PH,Citizen Data Scientist,competent,beginner,none,expert,none,proficient,none,competent,expert,none,competent,3,Amazon Redshift,On-premise,AWS,Google Cloud;AWS,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure,AWS
ANALYTICS SURVEY FEB-21,2020-05-14 21:22:42,rchilverq@sciencedaily.com,Honduras,HN,Data Analyst,competent,proficient,none,proficient,proficient,beginner,expert,none,expert,competent,proficient,1,Amazon Redshift;Teradata,Azure,Google Cloud;Azure,Google Cloud;Azure,"Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure,On-premise;AWS
ANALYTICS SURVEY JAN-21,2020-06-11 17:59:16,sslidesr@bigcartel.com,Palestinian Territory,PS,Data Analyst,expert,beginner,none,expert,competent,proficient,none,expert,proficient,competent,none,3,Amazon Redshift,Azure,Azure,Google Cloud,"Google Cloud;On-premise,AWS",AWS,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-09-18 03:03:53,mgeorges@privacy.gov.au,Argentina,AR,Physicist,expert,beginner,beginner,expert,expert,proficient,competent,expert,beginner,expert,proficient,5,Teradata,On-premise,AWS,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-06-03 07:31:28,jharcaset@ed.gov,Philippines,PH,Mathematician,none,proficient,proficient,beginner,proficient,expert,competent,proficient,expert,proficient,beginner,2,Amazon Redshift,Google Cloud,Azure,Google Cloud;Azure,Google Cloud;AWS;Azure,On-premise,Azure
ANALYTICS SURVEY JAN-21,2020-10-31 15:51:25,rcodeu@last.fm,Philippines,PH,Mathematician,none,competent,expert,none,none,none,expert,none,none,expert,none,4,Google Cloud BigQuery,On-premise,AWS;Azure,AWS,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-03-06 09:16:25,jgeogheganv@barnesandnoble.com,China,CN,Data Analyst,beginner,beginner,proficient,beginner,none,expert,expert,none,none,beginner,beginner,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,AWS,AWS,On-premise,AWS;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-08-02 00:54:10,gkenforthw@toplist.cz,United States,US,Data Scientist,beginner,expert,proficient,proficient,none,beginner,none,expert,competent,proficient,proficient,4,Amazon Redshift,AWS,AWS,Google Cloud;AWS,Google Cloud,Google Cloud,On-premise;AWS
ANALYTICS SURVEY,2020-11-22 19:23:51,lbristowx@acquirethisname.com,Indonesia,ID,Statistician,competent,none,expert,beginner,beginner,expert,beginner,expert,proficient,competent,expert,1,Amazon Redshift,AWS,AWS;Azure,Azure,AWS,On-premise;Azure,On-premise
ANALYTICS SURVEY FEB-21,2020-05-07 04:26:30,djelly@xinhuanet.com,Colombia,CO,Citizen Data Scientist,proficient,none,beginner,competent,competent,none,expert,beginner,none,expert,expert,4,Microsoft SQL Server,AWS,Google Cloud;AWS;Azure,Google Cloud;Azure,AWS,AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-02-25 05:24:45,tbuggsz@chicagotribune.com,China,CN,Mathematician,beginner,expert,none,beginner,competent,proficient,proficient,none,none,none,proficient,3,Microsoft SQL Server,Google Cloud,Google Cloud;Azure,Google Cloud;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",AWS
ANALYTICS SURVEY RETAIL,2020-10-03 01:48:51,astavers10@china.com.cn,Poland,PL,Data Analyst,none,proficient,expert,competent,none,none,proficient,proficient,beginner,competent,beginner,3,Google Cloud BigQuery,AWS,AWS;Azure,AWS Azure,"Google Cloud;On-premise,AWS",On-premise;AWS,On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-12-02 22:32:33,sgirardi11@si.edu,United States,US,Data Engineer,competent,competent,beginner,beginner,proficient,none,expert,beginner,proficient,proficient,competent,4,Microsoft SQL Server,Google Cloud,Google Cloud;AWS,Google Cloud,AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-06-28 16:03:26,rspinello12@boston.com,United States,US,Physicist,proficient,proficient,competent,expert,competent,beginner,proficient,beginner,competent,expert,proficient,3,Microsoft SQL Server,Azure,AWS;Azure,Google Cloud;AWS,Azure,On-premise,Azure
ANALYTICS SURVEY,2020-03-14 17:57:45,mkarolczyk13@soup.io,Poland,PL,Physicist,proficient,proficient,beginner,beginner,competent,beginner,proficient,none,expert,beginner,beginner,5,Teradata,Azure,AWS;Azure,AWS Azure,On-premise;AWS,Google Cloud;On-premise;Azure,Azure
ANALYTICS SURVEY FEB-21,2020-09-20 08:50:39,amatts14@usda.gov,Russia,RU,Data Engineer,beginner,beginner,competent,none,proficient,proficient,expert,beginner,competent,none,competent,3,Oracle Database,Google Cloud,Google Cloud;AWS,Azure,On-premise;Azure,On-premise;AWS,AWS
ANALYTICS SURVEY RETAIL,2020-04-28 03:10:27,mbiaggelli15@wix.com,Russia,RU,Mathematician,beginner,expert,proficient,proficient,proficient,beginner,proficient,none,proficient,beginner,expert,5,Google Cloud BigQuery,Azure,Google Cloud;Azure,Google Cloud;Azure,Google Cloud,On-premise,On-premise
ANALYTICS SURVEY RETAIL,2020-03-26 07:21:58,hputtock16@jigsy.com,Micronesia,FM,Data Analyst,none,competent,beginner,proficient,beginner,proficient,expert,competent,none,expert,proficient,4,Amazon Redshift,Google Cloud,Google Cloud;Azure,Google Cloud;Azure,AWS,On-premise;AWS,Google Cloud;On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-01-25 15:19:20,fbrombell17@youtube.com,Brazil,BR,Statistician,beginner,expert,proficient,none,none,competent,expert,proficient,none,none,beginner,5,Amazon Redshift;Teradata,On-premise,AWS,Google Cloud,"Google Cloud;On-premise,AWS",Google Cloud,Google Cloud;On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-11-07 04:41:22,rpinkney18@paginegialle.it,China,CN,Mathematician,beginner,expert,competent,expert,competent,none,beginner,competent,competent,competent,none,1,Microsoft SQL Server,Google Cloud,AWS;Azure,AWS Azure,On-premise;Azure,On-premise;Azure,On-premise
ANALYTICS SURVEY FEB-21,2020-08-07 03:46:30,abiagioni19@ox.ac.uk,Poland,PL,Data Engineer,proficient,expert,none,proficient,proficient,proficient,beginner,competent,competent,proficient,none,2,Amazon Redshift,Azure,Google Cloud;AWS,AWS,On-premise,Google Cloud,On-premise
ANALYTICS SURVEY FSI,2020-01-17 22:41:17,rdickenson1a@flavors.me,Reunion,RE,Citizen Data Scientist,beginner,none,beginner,expert,beginner,expert,beginner,beginner,expert,none,beginner,5,Amazon Redshift;Teradata,Azure,Google Cloud,Azure,AWS,"Google Cloud;On-premise,AWS",AWS
ANALYTICS SURVEY FEB-21,2020-08-04 14:04:15,civerson1b@sfgate.com,China,CN,Citizen Data Scientist,competent,expert,competent,expert,expert,beginner,competent,beginner,proficient,expert,competent,4,Amazon Redshift;Teradata,Google Cloud,Google Cloud,Google Cloud;AWS;Azure,AWS,AWS,Google Cloud
ANALYTICS SURVEY FSI,2020-05-28 07:27:46,bcorah1c@squidoo.com,Czech Republic,CZ,Data Analyst,proficient,none,competent,expert,beginner,proficient,proficient,proficient,competent,beginner,beginner,3,Oracle Database,Azure,Google Cloud;AWS;Azure,AWS Azure,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure,AWS
ANALYTICS SURVEY RETAIL,2020-10-05 05:46:53,kcasburn1d@usgs.gov,China,CN,Data Analyst,beginner,competent,expert,beginner,competent,competent,proficient,expert,beginner,beginner,proficient,1,Amazon Redshift,On-premise,AWS;Azure,Google Cloud;AWS;Azure,AWS,AWS,On-premise
ANALYTICS SURVEY,2020-04-23 03:20:22,wponde1e@4shared.com,Russia,RU,Physicist,beginner,expert,none,proficient,competent,expert,expert,beginner,competent,none,proficient,1,Google Cloud BigQuery,On-premise,AWS;Azure,AWS,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure,Azure
ANALYTICS SURVEY FEB-21,2020-02-15 21:40:32,tmartinovsky1f@ucoz.com,Armenia,AM,Statistician,proficient,none,proficient,competent,none,proficient,beginner,competent,none,expert,none,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,AWS,Google Cloud,On-premise;AWS,AWS,AWS
ANALYTICS SURVEY RETAIL,2020-06-28 21:32:10,dschmuhl1g@ow.ly,China,CN,Mathematician,proficient,beginner,beginner,proficient,none,beginner,beginner,expert,expert,competent,none,1,Amazon Redshift,Azure,AWS;Azure,Azure,AWS;Azure,On-premise;AWS,AWS
ANALYTICS SURVEY RETAIL,2020-06-30 08:44:47,ajimson1h@sogou.com,Angola,AO,Mathematician,proficient,expert,none,competent,none,none,none,competent,beginner,proficient,competent,5,Teradata,Google Cloud,AWS,Google Cloud;Azure,Google Cloud;On-premise;Azure,AWS,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FSI,2020-12-04 22:34:37,hhevner1i@bigcartel.com,Nigeria,NG,Data Analyst,beginner,beginner,none,none,none,expert,proficient,none,beginner,none,proficient,3,Microsoft SQL Server,Azure,Google Cloud;AWS;Azure,AWS Azure,"Google Cloud;On-premise,AWS",On-premise,AWS
ANALYTICS SURVEY RETAIL,2020-04-17 16:51:12,lpogson1j@pcworld.com,Poland,PL,Data Scientist,beginner,competent,beginner,beginner,beginner,none,proficient,proficient,expert,proficient,proficient,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,AWS,Azure,Google Cloud;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",Azure
ANALYTICS SURVEY FSI,2020-08-05 20:02:22,amcguinness1k@bbc.co.uk,Croatia,HR,Data Scientist,competent,competent,none,expert,expert,competent,competent,none,competent,competent,proficient,2,Microsoft SQL Server,Google Cloud,AWS,Google Cloud;AWS,On-premise;AWS,On-premise;AWS,On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-08-04 23:22:33,laiston1l@wordpress.org,China,CN,Data Analyst,beginner,proficient,expert,beginner,expert,competent,none,none,expert,beginner,beginner,1,Microsoft SQL Server,AWS,Google Cloud;AWS;Azure,Google Cloud,AWS;Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-10-01 15:14:34,cbrownbridge1m@deliciousdays.com,Colombia,CO,Physicist,proficient,none,none,none,proficient,beginner,proficient,competent,competent,beginner,expert,4,Oracle Database,Google Cloud,Azure,Azure,Google Cloud;On-premise;Azure,Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-04-25 07:51:18,mgoldbourn1n@histats.com,China,CN,Data Engineer,none,competent,none,none,beginner,none,proficient,expert,expert,beginner,none,1,Microsoft SQL Server,Google Cloud,Google Cloud;Azure,Azure,Azure,AWS,On-premise
ANALYTICS SURVEY FEB-21,2020-07-23 16:38:31,bflaherty1o@marketwatch.com,Niger,NE,Physicist,competent,expert,beginner,none,beginner,beginner,beginner,expert,beginner,beginner,none,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,AWS;Azure,AWS Azure,On-premise;Azure,On-premise;Azure,Google Cloud
ANALYTICS SURVEY FSI,2020-04-03 10:28:05,kpavlov1p@rambler.ru,Croatia,HR,Data Engineer,proficient,none,beginner,none,expert,proficient,competent,expert,proficient,expert,beginner,2,Amazon Redshift;Teradata,Azure,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY JAN-21,2020-08-08 14:16:11,dspirit1q@google.pl,Indonesia,ID,Citizen Data Scientist,expert,none,none,expert,beginner,proficient,competent,proficient,none,none,competent,1,Amazon Redshift;Teradata,On-premise,Azure,Google Cloud;AWS;Azure,On-premise;AWS,Google Cloud,Google Cloud
ANALYTICS SURVEY RETAIL,2020-01-16 11:33:06,klorroway1r@pcworld.com,Indonesia,ID,Physicist,expert,beginner,competent,beginner,competent,none,competent,competent,none,expert,expert,1,Oracle Database,Azure,AWS,Google Cloud;AWS,On-premise,On-premise;AWS,AWS;Azure
ANALYTICS SURVEY,2020-08-01 05:50:54,bjackling1s@gnu.org,Macedonia,MK,Statistician,expert,expert,proficient,none,proficient,none,none,competent,proficient,proficient,beginner,2,Amazon Redshift;Teradata,On-premise,Google Cloud;AWS,Azure,Azure,Google Cloud,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FSI,2020-06-10 08:48:12,djenne1t@exblog.jp,New Zealand,NZ,Data Engineer,none,expert,competent,none,competent,proficient,none,proficient,competent,proficient,none,1,Google Cloud BigQuery,Google Cloud,Google Cloud;Azure,Google Cloud;AWS,Google Cloud;On-premise;Azure,AWS;Azure,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-10-10 14:23:21,fdebruijn1u@pinterest.com,France,FR,Data Scientist,none,none,proficient,proficient,expert,expert,expert,beginner,beginner,beginner,proficient,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,AWS,AWS,Google Cloud;AWS,Google Cloud,"Google Cloud;On-premise,AWS",On-premise;Azure
ANALYTICS SURVEY,2020-08-07 18:57:21,pbargh1v@salon.com,Spain,ES,Data Scientist,beginner,proficient,expert,proficient,expert,expert,none,competent,none,competent,proficient,3,Teradata,On-premise,AWS,Azure,AWS;Azure,Google Cloud;AWS;Azure,Azure
ANALYTICS SURVEY RETAIL,2020-09-24 15:26:50,dgossart1w@dropbox.com,Sweden,SE,Physicist,none,beginner,beginner,competent,proficient,competent,beginner,none,expert,expert,beginner,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Google Cloud,AWS Azure,Google Cloud;AWS;Azure,On-premise,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-07-08 00:44:58,lcarpe1x@marriott.com,Sri Lanka,LK,Statistician,competent,proficient,proficient,expert,beginner,beginner,competent,proficient,proficient,beginner,proficient,2,Microsoft SQL Server,Azure,Google Cloud;Azure,Google Cloud,Google Cloud,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-03-05 04:03:54,rcoarser1y@people.com.cn,Brazil,BR,Statistician,expert,beginner,proficient,beginner,beginner,proficient,expert,proficient,none,expert,proficient,2,Microsoft SQL Server,Azure,Google Cloud;AWS,Azure,AWS;Azure,On-premise;Azure,AWS
ANALYTICS SURVEY FEB-21,2020-09-25 21:19:38,gbeaglehole1z@geocities.jp,Philippines,PH,Data Analyst,none,expert,none,beginner,none,proficient,proficient,expert,beginner,proficient,proficient,4,Microsoft SQL Server,Azure,Google Cloud;AWS;Azure,AWS,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure,AWS
ANALYTICS SURVEY FSI,2020-11-20 17:59:53,awickersham20@yelp.com,United States,US,Data Engineer,beginner,none,expert,expert,none,none,beginner,competent,expert,proficient,expert,5,Microsoft SQL Server,Google Cloud,Google Cloud;Azure,Azure,Google Cloud,AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-05-08 06:37:09,dsked21@devhub.com,China,CN,Mathematician,competent,competent,competent,none,beginner,beginner,none,competent,beginner,proficient,proficient,1,Microsoft SQL Server,On-premise,AWS;Azure,AWS,AWS,Google Cloud,AWS
ANALYTICS SURVEY FSI,2020-02-02 12:29:57,wrainger22@yolasite.com,Mexico,MX,Mathematician,none,competent,expert,beginner,competent,beginner,none,competent,competent,proficient,expert,5,Microsoft SQL Server,Google Cloud,Google Cloud;AWS;Azure,AWS,On-premise;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-09-28 17:18:09,cmcrory23@ifeng.com,Brazil,BR,Citizen Data Scientist,beginner,none,competent,expert,none,proficient,proficient,competent,expert,competent,beginner,1,Oracle Database,Azure,Google Cloud;AWS;Azure,Google Cloud;AWS,AWS;Azure,Google Cloud,AWS;Azure
ANALYTICS SURVEY,2020-10-31 01:55:50,wsaben24@whitehouse.gov,China,CN,Physicist,none,proficient,expert,beginner,proficient,none,competent,expert,beginner,competent,competent,4,Teradata,AWS,Azure,Google Cloud;AWS;Azure,Google Cloud,AWS;Azure,AWS
ANALYTICS SURVEY,2020-02-01 19:48:56,dmatasov25@bing.com,Afghanistan,AF,Data Analyst,beginner,beginner,beginner,proficient,competent,proficient,none,none,beginner,none,expert,3,Microsoft SQL Server,Azure,Google Cloud,Google Cloud,AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-06-22 19:34:26,rbetje26@cbslocal.com,Uruguay,UY,Statistician,competent,beginner,competent,proficient,competent,expert,none,none,beginner,expert,beginner,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud,Google Cloud;AWS;Azure,On-premise;Azure,Google Cloud,Azure
ANALYTICS SURVEY,2020-03-30 07:27:50,ppepperrall27@tuttocitta.it,Peru,PE,Physicist,proficient,competent,none,proficient,proficient,beginner,expert,proficient,expert,competent,proficient,5,Amazon Redshift;Teradata,Azure,AWS,Azure,Google Cloud;AWS;Azure,On-premise;AWS,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-12-07 17:14:02,mgerssam28@umn.edu,Greece,GR,Data Analyst,expert,expert,none,beginner,proficient,none,none,competent,competent,competent,none,4,Microsoft SQL Server,Google Cloud,AWS;Azure,Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,On-premise;Azure
ANALYTICS SURVEY FSI,2020-09-14 13:43:10,iduberry29@mac.com,United States,US,Data Analyst,,proficient,beginner,,beginner,beginner,beginner,proficient,,proficient,beginner,,Microsoft SQL Server,Azure,Google Cloud;Azure,,Google Cloud;On-premise;Azure,,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-08-28 16:20:36,ebucklan2a@shop-pro.jp,Indonesia,ID,Mathematician,proficient,none,competent,proficient,proficient,proficient,competent,proficient,competent,expert,proficient,5,Amazon Redshift;Teradata,Google Cloud,AWS,Google Cloud,Google Cloud;On-premise;Azure,Azure,AWS
